Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 128GB SSD FHD DOS Transparent Silver;62270 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 128GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 128 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-128gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 256GB SSD FHD DOS Transparent Silver;64870 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 256GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 256 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-256gb-ssd-fhd-dos-transparent-silver
Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 512GB SSD FHD DOS Transparent Silver;67470 сом;"Ноутбук Asus Vivobook X413J Intel Core i5-1035G1 8GB DDR4 512GB SSD + 512GB SSD FHD DOS Transparent SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" TN 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB + SSD 512 GB;...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-x413j-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-512gb-ssd-fhd-dos-transparent-silver
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD AMD Radeon Vega 8 Graphics FHD DOS черный;41060 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;44880 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;47490 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 256GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-256gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 8GB DDR4 1000GB HDD NVIDIA MX330 FHD Linux Black;66170 сом;"Ноутбук Acer Aspire A315-57G Intel Core i7-1065G7 8GB DDR4 1000GB HDD NVIDIA MX330 FHD Linux BlackОперационная система Linux; 4х-ядерный процессор 1.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920х1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.9 кг";На складе;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-57g-intel-core-i7-1065g7-8gb-ddr4-1000gb-hdd-nvidia-mx330-fhd-linux-black
Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 512GB SSD AMD Radeon Vega 8 Graphics FHD DOS черный;50100 сом;"Ноутбук Lenovo IdeaPad L340 AMD Ryzen 5-3500U 8GB DDR 1000GB HDD + 512GB SSD AMD Radeon Vega 8 Graphics FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор:  AMD Ryzen 5-3500U; Разрешение экрана: 1920x1080 Full HD;Графический контроллер: AMD Radeon  Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb;...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-amd-ryzen-5-3500u-8gb-ddr-1000gb-hdd-512gb-ssd-amd-radeon-vega-8-graphics-fhd-dos-chernyy
Ноутбук HP 15S-FQ2039UR Intel Core i3-1115G4 8GB DDR4 512GB SSD FHD W10 Silver;55750 сом;"Ноутбук HP 15S-FQ2039UR Intel Core i3-1115G4 8GB DDR4 512GB SSD FHD W10 SilverОперационная система Windows 10; процессор Intel Core i3 (2/4) 3000 MHz; видеоадаптер Intel Graphics; экран 15.6"" IPS 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес...";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-fq2039ur-intel-core-i3-1115g4-8gb-ddr4-512gb-ssd-fhd-w10-silver
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 120GB SSD +  64GB EMMC WIN Black;25250 сом;"Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 120GB SSD +  64GB EMMC WIN BlackТип: ноутбук; Операционная система: Windows; Процессор: Intel Celeron N4120; Разрешение экрана: 1366x768; Графический контроллер: Intel UHD Graphics 600; Объем накопителя SSD: 120 Gb; Объем накопителя eMMC: 64 Gb; Вес: от 1.52 кг";На складе;https://www.kivano.kg/product/view/noutbuk-acer-travelmate-b1-tmb118-m-intel-celeron-n4120-4gb-ddr4-120gb-ssd-64gb-emmc-win-black
Ноутбук HP 340S G7 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD DOS Silver;75720 сом;"Ноутбук HP 340S G7 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD DOS SilverОперационная система DOS; процессор Intel Core i5 (4/8) 1000 MHz; видеоадаптер Intel Graphics; экран 14"" IPS 1920x1080; оперативная память 8 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";На складе;https://www.kivano.kg/product/view/noutbuk-hp-340s-g7-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-dos-silver
Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 128GB SSD DOS Black;29810 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-4gb-ddr4-128gb-ssd-dos-black
Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 128GB SSD DOS Black;31980 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 128 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-8gb-ddr4-128gb-ssd-dos-black
Ноутбук Asus VivoBook Flip 14 AMD Ryzen 7 5700U 8GB DDR4 512GB SSD AMD Radeon Graphics 8 FHD WIN10 черный;91320 сом;"Ноутбук Asus VivoBook Flip 14 AMD Ryzen 7 5700U 8GB DDR4 512GB SSD AMD Radeon Graphics 8 FHD WIN10 черныйТип: ноутбук; Операционная система: Windows 10; Процессор: AMD Ryzen 7-5700U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics 8; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 1.5 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-vivobook-flip-14-amd-ryzen-7-5700u-8gb-ddr4-512gb-ssd-amd-radeon-graphics-8-fhd-win10-chernyy
Ноутбук Lenovo Flex 5 14ITL05 Intel Core i7-1165G7 12GB DDR 512GB SSD FHD W10 Platinum Grey;95650 сом;"Ноутбук Lenovo Flex 5 14ITL05 Intel Core i7-1165G7 12GB DDR 512GB SSD FHD W10 Platinum GreyТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i7-1165G7; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.5 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-flex-5-14itl05-intel-core-i7-1165g7-12gb-ddr-512gb-ssd-fhd-w10-platinum-grey
Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 256GB SSD DOS Black;31120 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 256 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-4gb-ddr4-256gb-ssd-dos-black
Ноутбук Asus X515JA-BQ026 Intel Core i5-1035G1 8GB DDR4 512GB SSD Intel HD Graphics FHD DOS серый;58360 сом;"Ноутбук Asus X515JA-BQ026 Intel Core i5-1035G1 8GB DDR4 512GB SSD Intel HD Graphics FHD DOS серыйОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ja-bq026-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-intel-hd-graphics-fhd-dos-seryy
Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 256GB SSD DOS Black;33290 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-8gb-ddr4-256gb-ssd-dos-black
Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 512GB SSD DOS Black;34160 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 4GB DDR4 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-4gb-ddr4-512gb-ssd-dos-black
Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 512GB SSD DOS Black;35910 сом;"Ноутбук HP 15S-EQ1214UR AMD 3020E 8GB DDR4 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" SVA 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.69 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15s-eq1214ur-amd-3020e-8gb-ddr4-512gb-ssd-dos-black
Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серый;49580 сом;"Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серыйОперационная система Windows 10 Home; 2х-ядерный процессор 2.4 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-15-db1255ur-amd-athlon-300u-8gb-ddr4-256gb-ssd-radeon-530-w10-fhd-seryy
Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный;69640 сом;"Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черныйТип: ноутбук; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 FHD; Графический контроллер: Nvidia GTX 1650 ; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 1,8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-msi-thin-intel-core-i5-9300h-8gb-ddr4-8gb-ddr4-256gb-ssd-nvidia-gtx-1650-4gb-fhd-chernyy
Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черный;31810 сом;"Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 4GB DDR4 1000GB HDD Intel UHD Graphics 620 FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-hp-250-g7-1f3j3ea-acb-intel-celeron-n4020-4gb-ddr4-1000gb-hdd-intel-uhd-graphics-620-fhd-dos-chernyy
Ноутбук Dell Vostro 5501 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD Linux Gray;63570 сом;"Ноутбук Dell Vostro 5501 Intel Core i5-1035G1 8GB DDR4 512GB SSD FHD Linux GrayОперационная система Linux; 4х-ядерный процессор 1.0 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" MVA; разрешение 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.64 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-vostro-5501-intel-core-i5-1035g1-8gb-ddr4-512gb-ssd-fhd-linux-gray
Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 Silver;77880 сом;"Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 SilverОперационная система Windows 10; 4х-ядерный процессор 1.6 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366х768; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.52 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-latitude-14-5410-intel-core-i5-10210u-8gb-ddr4-512gb-ssd-w10-silver
